"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"coyote","JA18","S05-RES1","2017-12-18","2018-02-14","chil",-87.82363466,41.76135893,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","S05-SFP0","2017-12-18","2018-02-14","chil",-87.858986115,41.758854845,4326,NA,NA,NA,0,0,1,1,NA,NA
"coyote","JA18","S06-CBW0","2017-12-18","2018-02-14","chil",-87.89252291,41.72879771,4326,NA,NA,NA,1,0,1,0,NA,NA
"coyote","JA18","S07-ARG1","2017-12-18","2018-02-14","chil",-87.97052731,41.71888815,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","S07-ARG2","2017-12-18","2018-02-14","chil",-87.98063145,41.70899378,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","S07-STJ1","2017-12-18","2018-02-14","chil",-87.93211936,41.69819734,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","S08-WGL1","2017-12-18","2018-02-14","chil",-87.99914707,41.69378812,4326,NA,NA,NA,1,0,0,0,0,NA
"coyote","JA18","S09-KTP1","2017-12-18","2018-02-14","chil",-88.03380771,41.6782417,4326,NA,NA,NA,0,1,1,1,1,NA
"coyote","JA18","S09-SMC1","2017-12-18","2018-02-14","chil",-88.01264245,41.65701595,4326,NA,NA,NA,0,0,0,0,NA,NA
"coyote","JA18","S09-VTW0","2017-12-18","2018-02-14","chil",-88.05987667,41.67081215,4326,NA,NA,NA,0,1,0,1,0,NA
"coyote","JA18","S10-ILC1","2017-12-18","2018-02-14","chil",-88.06930047,41.63776364,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","S10-LEW1","2017-12-18","2018-02-14","chil",-88.07710241,41.5993927,4326,NA,NA,NA,0,0,0,0,NA,NA
"coyote","JA18","S10-LPC1","2017-12-18","2018-02-14","chil",-88.04816511,41.5915763,4326,NA,NA,NA,0,1,0,0,NA,NA
"coyote","JA18","S10-LPP0","2017-12-18","2018-02-14","chil",-88.07212554,41.58289314,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","C04-MBP1","2018-03-18","2018-05-14","chil",-87.57339472,41.71308499,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","C05-BMP1","2018-03-18","2018-05-14","chil",-87.57510693,41.69479206,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","C05-BMP2","2018-03-18","2018-05-14","chil",-87.56486107,41.6857457,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","C06-HMP1","2018-03-18","2018-05-14","chil",-87.56991671,41.65680784,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","D02-BMT1","2018-03-18","2018-05-14","chil",-87.66977928,41.91433602,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","D02-HUP0","2018-03-18","2018-05-14","chil",-87.69904915,41.90585734,4326,NA,NA,1,0,0,0,0,NA,NA
"coyote","AP18","D02-JBS1","2018-03-18","2018-05-14","chil",-87.6399905,41.94889355,4326,NA,NA,NA,0,1,0,0,0,NA
"coyote","AP18","D02-MOP1","2018-03-18","2018-05-14","chil",-87.72430748,41.91858492,4326,NA,NA,0,0,0,NA,NA,NA,NA
"coyote","AP18","D02-RCP1","2018-03-18","2018-05-14","chil",-87.69329358,41.94109499,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","D02-SCP1","2018-03-18","2018-05-14","chil",-87.68589743,41.92296839,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","D03-AFP1","2018-03-18","2018-05-14","chil",-87.71652991,41.94666256,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","D03-AMP1","2018-03-18","2018-05-14","chil",-87.7482015,41.96850882,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","D03-CHP1","2018-03-18","2018-05-14","chil",-87.76234923,41.94245857,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","D03-GOM1","2018-03-18","2018-05-14","chil",-87.73063446,41.97527786,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","D03-NPV1","2018-03-18","2018-05-14","chil",-87.72834195,41.98593826,4326,NA,NA,1,0,1,0,0,NA,NA
"coyote","AP18","D03-STB1","2018-03-18","2018-05-14","chil",-87.66563918,41.96962066,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","D04-DNP1","2018-03-18","2018-05-14","chil",-87.78423327,41.96512952,4326,NA,NA,0,0,0,0,0,NA,NA
