"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"cottontail_sp","AP18","D09-RYW1",2018-03-18,2018-05-14,"chil",-87.90419482,42.1775919,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","D09-VTC1",2018-03-18,2018-05-14,"chil",-87.9292671,42.20377534,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","D10-CAN0",2018-03-18,2018-05-14,"chil",-87.93847762,42.24007189,4326,NA,NA,1,0,0,1,0,NA,NA
"cottontail_sp","AP18","D10-MAC1",2018-03-18,2018-05-14,"chil",-87.92753011,42.25476444,4326,NA,NA,0,0,0,1,0,NA,NA
"cottontail_sp","AP18","D10-VHC1",2018-03-18,2018-05-14,"chil",-87.94735573,42.22265299,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","J01-BBS1",2018-03-18,2018-05-14,"chil",-87.61051042,41.84834938,4326,NA,NA,0,1,1,1,0,NA,NA
"cottontail_sp","AP18","J01-CLP1",2018-03-18,2018-05-14,"chil",-87.65219937,41.91328435,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","J01-LMP1",2018-03-18,2018-05-14,"chil",-87.61053666,41.83717173,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","J01-NOR1",2018-03-18,2018-05-14,"chil",-87.60790591,41.86080165,4326,NA,NA,0,0,0,1,0,NA,NA
"cottontail_sp","AP18","J01-SEP1",2018-03-18,2018-05-14,"chil",-87.63898576,41.90142019,4326,NA,NA,NA,NA,1,1,0,NA,NA
"cottontail_sp","AP18","J01-SKP1",2018-03-18,2018-05-14,"chil",-87.66100717,41.87989095,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","J01-UIC1",2018-03-18,2018-05-14,"chil",-87.6460853,41.86897406,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","R02-DPG1",2018-03-18,2018-05-14,"chil",-87.69969807,41.86036917,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","R02-FRP1",2018-03-18,2018-05-14,"chil",-87.73276152,41.86167611,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","R02-HRF1",2018-03-18,2018-05-14,"chil",-87.7135301798515,41.8687909871892,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","R03-AUP1",2018-03-18,2018-05-14,"chil",-87.76897765,41.88766256,4326,NA,NA,1,0,1,0,0,NA,NA
"cottontail_sp","AP18","R03-CPG1",2018-03-18,2018-05-14,"chil",-87.7721358,41.87566237,4326,NA,NA,0,1,0,0,1,NA,NA
"cottontail_sp","AP18","R03-EUC1",2018-03-18,2018-05-14,"chil",-87.79182537,41.86573343,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","R03-MAP1",2018-03-18,2018-05-14,"chil",-87.80378089,41.86786605,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","R04-MMW0",2018-03-18,2018-05-14,"chil",-87.83207106,41.85280337,4326,NA,NA,0,1,1,0,0,NA,NA
"cottontail_sp","AP18","R04-MMW3",2018-03-18,2018-05-14,"chil",-87.82763197,41.86356253,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","R04-SCH1",2018-03-18,2018-05-14,"chil",-87.8484205,41.85567851,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","R05-FMG1",2018-03-18,2018-05-14,"chil",-87.91280438,41.84824061,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","R05-GOC1",2018-03-18,2018-05-14,"chil",-87.88292622,41.85757554,4326,NA,NA,1,0,0,0,0,NA,NA
"cottontail_sp","AP18","R05-MTC1",2018-03-18,2018-05-14,"chil",-87.91060758,41.86915824,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","R05-STP1",2018-03-18,2018-05-14,"chil",-87.86937113,41.88326265,4326,NA,NA,0,1,1,1,0,NA,NA
"cottontail_sp","AP18","R06-OTB1",2018-03-18,2018-05-14,"chil",-87.97779673,41.85248376,4326,NA,NA,1,1,1,1,1,NA,NA
