Site,Species,Date.Time
Site22,Deer,2021-09-26 09:26:47
Site22,Deer,2021-09-26 07:34:24
Site22,Deer,2021-09-26 10:08:25
Site22,Deer,2021-09-26 10:12:16
Site22,Deer,2021-09-26 10:24:58
Site22,Deer,2021-09-26 10:28:18
Site22,Deer,2021-09-26 10:14:38
Site22,Deer,2021-09-05 17:40:39
Site22,Deer,2021-09-29 20:45:22
Site22,Deer,2021-09-30 19:45:33
Site22,Deer,2021-09-26 18:17:59
Site22,Deer,2021-09-05 18:06:53
Site22,Deer,2021-09-03 18:18:53
Site22,Deer,2021-09-07 09:21:52
Site22,Deer,2021-09-07 10:28:29
Site22,Deer,2021-09-07 20:20:54
Site22,Deer,2021-09-09 08:38:09
Site22,Deer,2021-09-09 08:56:44
Site22,Deer,2021-09-09 19:27:36
Site22,Deer,2021-09-09 20:21:56
Site22,Deer,2021-09-10 06:36:26
Site22,Deer,2021-09-10 10:16:30
Site22,Deer,2021-09-11 21:54:53
Site22,Deer,2021-09-14 09:59:17
Site22,Deer,2021-09-18 03:03:14
Site22,Deer,2021-09-22 09:28:37
Site22,Deer,2021-09-22 09:53:52
Site22,Deer,2021-09-22 09:57:51
Site22,Deer,2021-09-22 14:44:12
Site22,Deer,2021-09-22 17:33:53
Site22,Deer,2021-09-22 17:37:22
Site22,Deer,2021-10-03 07:20:12
Site22,Deer,2021-10-06 22:24:00
Site22,Deer,2021-10-09 01:05:06
Site22,Deer,2021-10-11 06:29:28
Site22,Deer,2021-10-11 19:19:09
Site22,Deer,2021-10-12 14:13:17
Site22,Deer,2021-10-16 05:06:39
Site22,Deer,2021-10-17 04:20:14
Site22,Deer,2021-10-26 05:23:24
Site22,Deer,2021-10-26 05:35:36
Site22,Deer,2021-10-26 22:08:31
Site22,Deer,2021-10-24 17:55:46
Site4,Deer,2021-10-02 11:40:39
Site4,Moose,2021-10-02 23:47:59
Site4,Moose,2021-10-04 03:08:57
Site4,Moose,2021-10-03 19:08:23
Site4,Moose,2021-10-04 16:19:06
Site4,Moose,2021-10-06 19:55:11
Site4,Moose,2021-10-10 23:13:50
Site4,Moose,2021-10-11 22:35:16
Site4,Moose,2021-10-12 15:59:58
Site4,Moose,2021-10-12 07:59:31
Site4,Moose,2021-10-22 09:59:00
Site4,Deer,2021-10-08 05:24:09
Site4,Deer,2021-10-15 14:36:34
Site4,Deer,2021-10-21 10:49:48
Site4,Deer,2021-11-04 20:05:06
Site4,Deer,2021-10-12 07:56:16
Site4,Deer,2021-10-26 14:07:44
Site4,Puma,2021-10-11 10:18:42
Site4,Deer,2021-10-08 20:04:14
Site4,Deer,2021-10-09 12:52:14
Site4,Deer,2021-10-14 15:01:27
Site4,Deer,2021-10-13 16:02:18
Site4,Moose,2021-10-19 00:03:21
Site4,Deer,2021-10-19 10:40:57
Site4,Deer,2021-10-20 12:49:54
Site4,Moose,2021-10-22 21:19:14
Site4,Deer,2021-10-26 13:56:09
Site4,Deer,2021-10-23 15:42:59
Site4,Deer,2021-10-28 14:04:57
Site4,Puma,2021-11-04 16:30:16
Site4,Deer,2021-10-19 10:33:59
Site5,Elk,2021-10-03 08:59:25
Site5,Deer,2021-10-14 15:30:56
Site5,Coyote,2021-10-20 10:21:52
Site5,Deer,2021-10-19 07:01:30
Site5,Coyote,2021-10-23 01:47:17
Site5,Coyote,2021-10-29 03:31:41
Site5,Deer,2021-11-05 02:19:16
Site7,Elk,2021-10-02 07:56:01
Site7,Puma,2021-10-18 03:34:41
Site7,Deer,2021-11-03 09:12:52
Site10,Elk,2021-11-03 09:35:36
Site10,Moose,2021-10-04 02:15:07
Site10,Moose,2021-10-07 13:32:17
Site10,Moose,2021-10-07 13:40:16
Site10,Moose,2021-10-07 13:53:44
Site10,Deer,2021-10-11 15:58:15
Site10,Moose,2021-10-12 17:57:01
Site10,Deer,2021-10-15 17:14:57
Site10,Deer,2021-10-15 17:17:33
Site10,Puma,2021-10-18 05:53:36
Site10,Elk,2021-10-29 10:23:08
Site10,Elk,2021-10-29 17:51:23
Site10,Elk,2021-10-30 16:17:46
Site10,Elk,2021-10-30 17:00:42
Site10,Elk,2021-11-03 09:28:33
Site10,Elk,2021-11-03 09:32:32
Site10,Elk,2021-11-03 17:22:14
Site10,Deer,2021-11-04 13:03:13
Site10,Deer,2021-11-06 09:46:04
Site10,Coyote,2021-10-11 13:19:47
Site2,Moose,2021-10-05 10:17:04
Site2,Moose,2021-10-06 12:06:33
Site2,Moose,2021-10-11 18:30:03
Site2,Moose,2021-10-26 09:30:11
Site2,Moose,2021-10-26 10:09:59
Site2,Moose,2021-10-26 16:03:50
Site2,Moose,2021-10-26 15:46:41
Site2,Moose,2021-10-26 16:00:13
Site2,Moose,2021-10-26 17:59:30
Site2,Moose,2021-10-26 17:57:21
Site2,Moose,2021-10-15 18:13:51
Site2,Deer,2021-10-19 10:28:04
Site2,Moose,2021-10-21 18:19:40
Site2,Puma,2021-11-01 02:34:10
Site6,Deer,2021-10-02 12:32:23
Site6,Puma,2021-10-03 05:39:59
Site2,Moose,2021-10-04 19:55:01
Site2,Puma,2021-10-08 03:30:54
Site2,Deer,2021-10-09 12:29:57
Site2,Deer,2021-10-11 18:33:59
Site2,Coyote,2021-10-14 06:35:15
Site2,Coyote,2021-10-14 06:33:55
Site2,Deer,2021-10-14 15:44:43
Site2,Coyote,2021-10-16 08:22:19
