Site,Date,Time,Time_L,Species,GroupSize,HeightM,DistanceM,CompassDegree,UtmX,UtmY,Lat,Long,AccuracyM,ElevationM,TrailMarker,Transect,Habitat,Scientist,ActivityBehavior,Cue,ID,Atsrix
4AJB,11-10-12,19H 12M 0S,19:12,Microcebus rufus,1,10,10,240,352377,8319298,-15.198108,49.625699,6,546,1525,R,Ridge,SF,Stop,See,208,0
FRK,14-06-11,18H 22M 0S,18:22,Avahi laniger,1,3,3,240,375565,8294026,-15.427759,49.840276,3,641,300,F,Ridge,SF,Stop,See,209,0
FRK,19-07-11,19H 41M 0S,19:41,Avahi laniger,2,5,5,170,375336,8293994,-15.428037,49.838141,4,289,600,F,Ridge,SF,Stop,See,210,0
FRK,20-07-11,19H 28M 0S,19:28,Avahi laniger,2,12,12,65,375235,8293970,-15.428249,49.837198,5,305,775,F,Ridge,SF,Stop,See,211,0
FRK,20-07-11,19H 23M 0S,19:23,Avahi laniger,2,11,11,100,375184,8293923,-15.428672,49.836721,4,269,850,F,Ridge,SF,Stop,See,212,0
FRK,28-06-11,19H 10M 0S,19:10,Avahi laniger,3,5,5,340,375120,8293799,-15.429789,49.836118,5,253,950,F,Ridge,SF,Stop,See,213,0
FRK,19-07-11,19H 18M 0S,19:18,Avahi laniger,2,12,12,60,375155,8293864,-15.429204,49.836447,4,243,950,F,Ridge,SF,Stop,See,214,0
FRK,14-06-11,19H 31M 0S,19:31,Avahi laniger,1,3,3,260,375134,8293815,-15.429645,49.836249,5,641,975,F,Ridge,SF,Stop,See,215,0
FRK,11-07-11,19H 4M 0S,19:04,Avahi laniger,1,8,8,20,374996,8293775,-15.43,49.834961,5,235,1125,F,Ridge,SF,Stop,See,216,0
FRK,11-07-11,18H 58M 0S,18:58,Avahi laniger,1,9,9,20,374975,8293775,-15.429999,49.834766,4,236,1150,F,Ridge,SF,Stop,See,217,0
FRK,28-06-11,18H 52M 0S,18:52,Avahi laniger,3,8,8,80,374944,8293778,-15.429971,49.834477,3,230,1175,F,Ridge,SF,Jumping,See,218,0
