Site,Date,Time,Species,group,Height,Distance,Compass,UTM_X,UTM_Y,Lat,Long,Accuracy,Elevation,Trail_Marker,Transect,Habitat,nose,Behavior,Cue
SOA,03-05-11,19:35,Varecia variegata,1,15,6,260,334164,8346660,-14.949715,49.457969,4,1160,750,D,Ridge,RF,Stop,Seen
SOA,04-05-11,09:34,Varecia variegata,4,20,8,140,334151,8346767,-14.948747,49.457855,4,1128,575,D,Ridge,RF,Stop,Seen
SOA,08-05-11,18:56,Varecia variegata,2,14,6,200,334143,8346771,-14.94871,49.457781,5,1131,575,D,Ridge,RF,Stop,Seen
1MGB,20-04-11,19:07,Avahi laniger,1,7,6,180,338066,8306410,-15.313735,49.491671,8,608,1275,M,slope,RF,Stop,See
1MGB,22-04-11,18:20,Avahi laniger,1,8,8,280,339342,8308437,-15.295495,49.503683,6,688,1675,Z,Slope,RF,Stop,See
1MGB,17-05-11,na,Eulemur albifrons,4,6,8,300,339329,8308243,-15.297248,49.50355,7,788,1425,Z,slope,RF,Jumping,See
1MGB,11-05-11,08:37,Indri indri,na,na,400,80,339389,8308087,-15.298661,49.504099,7,809,1225,Z,slope,RF,Calling,Hear
1MGB,12-04-11,18:23,Microcebus rufus*,1,0.5,1,180,337594,8306409,-15.313714,49.487275,11,780,1825,M,slope,RF,Stop,See
1MGB,26-04-11,18:39,Microcebus rufus*,1,5,15,20,338235,8306431,-15.313556,49.493246,6,635,1075,M,Slope,RF,Stop,See
1MGB,26-04-11,19:21,Microcebus rufus*,1,5,4,180,338351,8306432,-15.313554,49.494326,4,626,950,M,Slope,RF,Stop,See
2AJB,15-11-10,19:29,Avahi laniger,1,11,8,280,352521,8319427,-15.19695,49.627047,5,520,1550,R,Slope,RF,Stop,
2AJB,15-11-10,18:57,Cheirogaleus major,1,4,5,160,352551,8319602,-15.19537,49.627336,6,521,1800,R,slope,RF,Stop,
2MGB,28-06-12,18:23,Avahi laniger,1,6,10,80,337816,8306329,-15.314451,49.489338,4,663,1575,M,Slope,RF,Stop,See
3AJB,05-09-11,19:10,Avahi laniger,1,2,7,200,352493,8319677,-15.194689,49.626801,4,538,1900,R,Slope,RF,Stop,
3AJB,05-09-11,19:50,Avahi laniger,2,5,7,240,352382,8319313,-15.197973,49.625746,5,508,1400,R,Slope,RF,Stop,
3AJB,12-09-11,18:54,Avahi laniger,1,6,7,160,352090,8320433,-15.187833,49.623094,4,591,1775,A,Slope,RF,Stop,
3AJB,23-09-11,18:57,Avahi laniger,1,6,7,80,351459,8319278,-15.198236,49.617154,4,354,1275,R,Slope,Rf,Stop,
3AJB,23-09-11,19:19,Avahi laniger,1,10,7,40,351641,8319297,-15.198075,49.618849,3,479,1475,R,Slope,RF,Stop ,
3AJB,29-09-11,20:02,Avahi laniger,1,14,7,160,351289,8320128,-15.190544,49.615621,6,506,325,C,Slope,RF,Stop ,
3AJB,07-10-11,18:51,Avahi laniger,1,6,7,280,351655,8320718,-15.185232,49.619062,5,604,1475,C,Slope,RF,Stop,
3AJB,12-09-11,18:47,Eulemur albifrons,1,10,7,280,352072,8320385,-15.188266,49.622924,4,594,1725,A,Slope,RF,Stop,
3AJB,29-09-11,18:44,Eulemur albifrons,4,13,7,240,351740,8320866,-15.183899,49.619862,6,643,1725,C,Slope,RF,Stop,
3AJB,30-09-11,18:46,Eulemur albifrons,4,11,7,200,351711,8320774,-15.184729,49.619587,5,621,1625,C,Slope,RF,Stop  ,
