"sites","LocationName.geometry","water","lawn_grass","urban_low","urban_med","urban_high","forest","shrub","herbaceous","wetland","ag"
"R05-FMG1",c(-87.91280438, 41.84824061),0,0.230433478951454,0.269266754388809,0.288220942020416,0.205803766846657,0,0,0.00627504987642169,0,0
"R05-GOC1",c(-87.88292622, 41.85757554),0,0.0967526808381081,0.339455306529999,0.443785011768341,0.12000697851181,0,0,0,0,0
"R05-STP1",c(-87.86937113, 41.88326265),0,0.00182970415335149,0.0951692163944244,0.590001165866852,0.312999933958054,0,0,0,0,0
"R06-OTB1",c(-87.97779673, 41.85248376),0,0.104365319013596,0.287241637706757,0.378416240215302,0.226057752966881,0.00130635243840516,0,0,0,0.00261270487681031
"R06-SLT2",c(-87.95678027, 41.87464622),0,0.157698959112167,0.472695738077164,0.239510387182236,0.111341238021851,0.0116960984887555,0,0,0.00575062446296215,0
"R06-YOW1",c(-87.93312143, 41.85870532),0,0.103915847837925,0.394625723361969,0.256182909011841,0.147350296378136,0.0876049911603332,0,0,0.00849121937062591,0.00182902568485588
"R07-FSP1",c(-88.02228432, 41.85090748),0,0.0639004558324814,0.295469433069229,0.435393363237381,0.200791284441948,0,0,0,0.00444544525817037,0
"R07-GOF1",c(-88.04194649, 41.8658981),0.030335670337081,0.144299030303955,0.45675128698349,0.246130630373955,0.0693748295307159,0.00889149028807878,0.00549180246889591,0.0109836049377918,0.0166025995276868,0.0111390426754951
"R07-MMP1",c(-88.00296221, 41.87405852),0,0.121570959687233,0.646408379077911,0.216471955180168,0.0155486883595586,0,0,0,0,0
"R07-YHR1",c(-87.98972335, 41.86578813),0,0.128699421882629,0.453834533691406,0.282836526632309,0.13018673658371,0.00444274907931685,0,0,0,0
"R08-DAP1",c(-88.07916556, 41.87515101),0,0.110726848244667,0.695571303367615,0.159612342715263,0.0296476893126965,0.00365797709673643,0,0,0,0.00078385224333033
"R08-PAP1",c(-88.05904063, 41.8561811),0,0.120603263378143,0.488018453121185,0.254561364650726,0.136816903948784,0,0,0,0,0
"R08-VLG1",c(-88.07091278, 41.8521756),0.00470780534669757,0.159693151712418,0.467833280563354,0.265580862760544,0.0993078798055649,0,0,0.00261544738896191,0.000261544744716957,0
"R08-WBK1",c(-88.06135623, 41.84175796),0.00314077129587531,0.190284579992294,0.559244632720947,0.172703847289085,0.0526408106088638,0.0191063592210412,0.000261730951024219,0,0.00209384760819376,0
"R09-BLW1",c(-88.14724262, 41.86309312),0.00653457827866077,0.123012937605381,0.373587310314178,0.26363867521286,0.121503435075283,0.0321495961397886,0,0.000522766262292862,0.0787893552333117,0.000261383131146431
"R09-CTG0",c(-88.16212923, 41.85014493),0.00496845180168748,0.43309611082077,0.26440903544426,0.0538199506700039,0.00601444160565734,0.125271285884082,0,0.0070107476785779,0.0143823608523235,0.0910276051145047
"R09-LIM0",c(-88.12305588, 41.87106444),0.00496574770659208,0.094258077442646,0.516540944576263,0.150111243128777,0.0711658820509911,0.0552797538693994,0.000522710324730724,0.00731794442981482,0.0961786955595016,0.00313626183196902
"R09-SMI1",c(-88.11233994, 41.85279958),0,0.239848658442497,0.631343305110931,0.119195036590099,0.00961302500218153,0,0,0,0,0
"R10-FRM1",c(-88.2632106, 41.81899974),0.00680318335071206,0.0912480652332306,0.213260650634766,0.210927709937096,0.0525881908833981,0.109641865128651,0.00104664359241724,0.102092675864697,0.0546375047415495,0.157230204902589
"R10-FRM2",c(-88.25455583, 41.83329816),0.0366936884820461,0.0769703835248947,0.085019625723362,0.1033119186759,0.0451751016080379,0.0853653019294143,0.00104666873812675,0.127330511808395,0.375408500432968,0.0636783065274358
